COMPETENCIA;VALOR;VALOR_GOOGLE
01/12/2011;0,005;0,50000000000000;
01/01/2012;0,005;0,50000000000000;
01/02/2012;0,005;0,50000000000000;
01/03/2012;0,005;0,50000000000000;
01/04/2012;0,005;0,50000000000000;
01/05/2012;0,005;0,50000000000000;
01/06/2012;0,004828042512537767;0,48280000000000;
01/07/2012;0,004828042512537767;0,48280000000000;
01/08/2012;0,0045510066248739545;0,45510000000000;
01/09/2012;0,004273127766158069;0,42730000000000;
01/10/2012;0,004273127766158069;0,42730000000000;
01/11/2012;0,0041338705431108735;0,41340000000000;
01/12/2012;0,0041338705431108735;0,41340000000000;
01/01/2013;0,0041338705431108735;0,41340000000000;
01/02/2013;0,0041338705431108735;0,41340000000000;
01/03/2013;0,0041338705431108735;0,41340000000000;
01/04/2013;0,0041338705431108735;0,41340000000000;
01/05/2013;0,004273127766158069;0,42730000000000;
01/06/2013;0,0045510066248739545;0,45510000000000;
01/07/2013;0,0045510066248739545;0,45510000000000;
01/08/2013;0,004828042512537767;0,48280000000000;
01/09/2013;0,005;0,50000000000000;
01/10/2013;0,005;0,50000000000000;
01/11/2013;0,005;0,50000000000000;
01/12/2013;0,005;0,50000000000000;
01/01/2014;0,005;0,50000000000000;
01/02/2014;0,005;0,50000000000000;
01/03/2014;0,005;0,50000000000000;
01/04/2014;0,005;0,50000000000000;
01/05/2014;0,005;0,50000000000000;
01/06/2014;0,005;0,50000000000000;
01/07/2014;0,005;0,50000000000000;
01/08/2014;0,005;0,50000000000000;
01/09/2014;0,005;0,50000000000000;
01/10/2014;0,005;0,50000000000000;
01/11/2014;0,005;0,50000000000000;
01/12/2014;0,005;0,50000000000000;
01/01/2015;0,005;0,50000000000000;
01/02/2015;0,005;0,50000000000000;
01/03/2015;0,005;0,50000000000000;
01/04/2015;0,005;0,50000000000000;
01/05/2015;0,005;0,50000000000000;
01/06/2015;0,005;0,50000000000000;
01/07/2015;0,005;0,50000000000000;
01/08/2015;0,005;0,50000000000000;
01/09/2015;0,005;0,50000000000000;
01/10/2015;0,005;0,50000000000000;
01/11/2015;0,005;0,50000000000000;
01/12/2015;0,005;0,50000000000000;
01/01/2016;0,005;0,50000000000000;
01/02/2016;0,005;0,50000000000000;
01/03/2016;0,005;0,50000000000000;
01/04/2016;0,005;0,50000000000000;
01/05/2016;0,005;0,50000000000000;
01/06/2016;0,005;0,50000000000000;
01/07/2016;0,005;0,50000000000000;
01/08/2016;0,005;0,50000000000000;
01/09/2016;0,005;0,50000000000000;
01/10/2016;0,005;0,50000000000000;
01/11/2016;0,005;0,50000000000000;
01/12/2016;0,005;0,50000000000000;
01/01/2017;0,005;0,50000000000000;
01/02/2017;0,005;0,50000000000000;
01/03/2017;0,005;0,50000000000000;
01/04/2017;0,005;0,50000000000000;
01/05/2017;0,005;0,50000000000000;
01/06/2017;0,005;0,50000000000000;
01/07/2017;0,005;0,50000000000000;
01/08/2017;0,005;0,50000000000000;
01/09/2017;0,005;0,50000000000000;
01/10/2017;0,004689629605800327;0,46900000000000;
01/11/2017;0,004273127766158069;0,42730000000000;
01/12/2017;0,004273127766158069;0,42730000000000;
01/01/2018;0,003994400555316968;0,39940000000000;
01/02/2018;0,003994400555316968;0,39940000000000;
01/03/2018;0,003854717121942075;0,38550000000000;
01/04/2018;0,0037148195588312394;0,37150000000000;
01/05/2018;0,0037148195588312394;0,37150000000000;
01/06/2018;0,0037148195588312394;0,37150000000000;
01/07/2018;0,0037148195588312394;0,37150000000000;
