CompetenciaIndices,SalarioMinimo,SMReferencia,TetoContribuicao,TetoBeneficio,DataBase,FatorIntegral,FatorProporcional,MultiplicadorMoeda,AjusteMoeda,IndiceAtualizacao,IndiceAcumulado,IndiceRes134,IndiceRes134Acumulado,IndiceSalarios,IndiceSCAcumulado,IPCA,IPCAE,IndiceCondenatorias,IndiceCondenatoriasAcumulado,Selic,Juros
01/1970,156,-,1560,1560,FALSE,-,-,1,"0,000001","1,0224321133","2,6539493111","1,0224321133","1,327226847","1,0224321133","2066641,52547309",-,-,"1,0224321133","0,0018874748","0,00%","1,0000%"
02/1970,156,-,1560,1560,FALSE,-,-,1,"0,000001","1,0200923788","2,5957217858","1,0200923788","1,2981075513","1,0200923788","2021299,50586109",-,-,"1,0200923788","0,0018460637","0,00%","1,0000%"
03/1970,156,-,1560,1560,FALSE,-,-,1,"0,000001","1,0113199004","2,5445948228","1,0113199004","1,2725392114","1,0113199004","1981486,72410653",-,-,"1,0113199004","0,0018097025","0,00%","1,0000%"
04/1970,156,-,1560,1560,FALSE,-,-,1,"0,000001","1,0091784195","2,516112678","1,0091784195","1,2582954325","1,0091784195","1959307,55772969",-,-,"1,0091784195","0,0017894461","0,00%","1,0000%"
05/1970,"187,2",-,1872,1872,FALSE,-,-,1,"0,000001","1,0093167702","2,4932287783","1,0093167702","1,2468513081","1,0093167702","1941487,76849568",-,-,"1,0093167702","0,0017731712","0,00%","1,0000%"
06/1970,"187,2",-,1872,1872,FALSE,-,-,1,"0,000001","1,0153846154","2,4702143588","1,0153846154","1,2353419114","1,0153846154","1923566,34294034",-,-,"1,0153846154","0,0017568035","0,00%","1,0000%"
07/1970,"187,2",-,1872,1872,FALSE,-,-,1,"0,000001","1,0088744589","2,4327868685","1,0088744589","1,2166246097","1,0088744589","1894421,39835033",-,-,"1,0088744589","0,0017301852","0,00%","1,0000%"
08/1970,"187,2",-,1872,1872,FALSE,-,-,1,"0,000001","1,0094400343","2,4113871127","1,0094400343","1,2059226983","1,0094400343","1877757,31825328",-,-,"1,0094400343","0,0017149659","0,00%","1,0000%"
09/1970,"187,2",-,1872,1872,FALSE,-,-,1,"0,000001","1,0119022317","2,388836415","1,0119022317","1,1946452066","1,0119022317","1860196,99476696",-,-,"1,0119022317","0,0016989279","0,00%","1,0000%"
10/1970,"187,2",-,1872,1872,FALSE,-,-,1,"0,000001","1,0189035917","2,3607383601","1,0189035917","1,1805935091","1,0189035917","1838316,92089446",-,-,"1,0189035917","0,0016789447","0,00%","1,0000%"
