CompetenciaIndices,SalarioMinimo,SMReferencia,TetoContribuicao,TetoBeneficio,DataBase,FatorIntegral,FatorProporcional,MultiplicadorMoeda,AjusteMoeda,IndiceAtualizacao,IndiceAcumulado,IndiceRes134,IndiceRes134Acumulado,IndiceSalarios,IndiceSCAcumulado,IPCA,IPCAE,IndiceCondenatorias,IndiceCondenatoriasAcumulado,Selic,Juros
11/1992,"522.186,94",-,"4.780.863,30","4.780.863,30",FALSE,-,"0,54325300","1,0000000000","0,0010000000","1,2289000000","0,00115974462867","1,2289000000","0,0006150978","1,2289000000","0,5219260262","1,2249000000","1,2370000000","1,2369989964","0,0000008270","26,40%","1,0000%"
12/1992,"522.186,94",-,"4.780.863,30","4.780.863,30",FALSE,-,"0,25580000","1,0000000000","0,0010000000","1,2558000000","0,00094372579435","1,2558000000","0,0005005271","1,2558000000","0,4247099245","1,2524000000","1,2349000000","1,2349001674","0,0000006686","25,92%","1,0000%"
01/1993,"1.250.700,00",-,"11.532.054,23","11.532.054,23",TRUE,"1,41212800","0,91707400","1,0000000000","0,0010000000","1,2791000000","0,00075149370469","1,2791000000","0,0003985723","1,2791000000","0,3381986976","1,3035000000","1,2947000000","1,2947002044","0,0000005414","28,52%","1,0000%"
02/1993,"1.250.700,00",-,"11.532.054,23","11.532.054,23",FALSE,-,"0,49876800","1,0000000000","0,0010000000","1,2589000000","0,00058751755507","1,2589000000","0,0003116037","1,2589000000","0,2644036413","1,2498000000","1,2672000000","1,2672003734","0,0000004182","28,90%","1,0000%"
03/1993,"1.709.400,00",-,"15.760.858,52","15.760.858,52",TRUE,"0,36670000","0,62710800","1,0000000000","0,0010000000","1,2687000000","0,00046669120269","1,2687000000","0,0002475206","1,2687000000","0,2100275171","1,2726000000","1,2596000000","1,2596000776","0,0000003300","28,36%","1,0000%"
04/1993,"1.709.400,00",-,"15.760.858,52","15.760.858,52",FALSE,-,"0,28250000","1,0000000000","0,0010000000","1,2825000000","0,00036784992724","1,2825000000","0,0001950978","1,2825000000","0,1655454537","1,2775000000","1,2734000000","1,2734003767","0,0000002620","30,53%","1,0000%"
05/1993,"3.303.300,00",-,"30.214.732,09","30.214.732,09",TRUE,"0,91707400","0,70736300","1,0000000000","0,0010000000","1,2839000000","0,00028682255535","1,2839000000","0,0001521231","1,2839000000","0,1290802758","1,2769000000","1,2861000000","1,2881000814","0,0000002057","30,90%","1,0000%"
06/1993,"3.303.300,00",-,"30.214.732,09","30.214.732,09",FALSE,-,"0,32982500","1,0000000000","0,0010000000","1,3034000000","0,00022339945117","1,3034000000","0,0001184851","1,3034000000","0,1005376399","1,3007000000","1,2761000000","1,3033998173","0,0000001597","31,91%","1,0000%"
07/1993,"4.639.800,00",-,"42.439.310,55","42.439.310,55",TRUE,"0,40459000","0,43306700","0,0010000000","0,0010000000","1,2926000000","0,00017139746138","1,2926000000","0,0000909047","1,2926000000","0,0771349086","1,3072000000","1,3067000000","0,0013065777","0,0000001225","32,73%","1,0000%"
08/1993,"5.534,00",-,"50.613,12","50.613,12",TRUE,"(0,99880740)","0,32220000","1,0000000000","1,0000000000","1,3222000000","0,13259899534544","1,3222000000","0,0703269910","1,3222000000","59,6742291429","1,3296000000","1,3199000000","1,3199345642","0,0937843247","34,64%","1,0000%"
09/1993,"9.606,00",-,"86.414,97","86.414,97",TRUE,"0,70736300","0,75284100","1,0000000000","1,0000000000","1,3517000000","0,10028663995269","1,3517000000","0,0531893745","1,3517000000","45,1325284699","1,3569000000","1,3438000000","1,3438385269","0,0710522531","37,23%","1,0000%"
10/1993,"12.024,00",-,"108.165,62","108.165,62",TRUE,"0,25170000","0,60223100","1,0000000000","1,0000000000","1,3492000000","0,07419297177827","1,3492000000","0,0393499849","1,3492000000","33,3894565879","1,3392000000","1,3517000000","1,3516469038","0,0528726121","38,40%","1,0000%"
11/1993,"15.021,00",-,"135.120,49","135.120,49",TRUE,"0,24920000","0,48347700","1,0000000000","1,0000000000","1,3489000000","0,05499034374316","1,3489000000","0,0291654201","1,3489000000","24,7475960480","1,3556000000","1,3390000000","1,3390193976","0,0391171777","38,38%","1,0000%"
12/1993,"18.760,00",-,"168.751,98","168.751,98",TRUE,"0,24890000","0,37350000","1,0000000000","1,0000000000","1,3735000000","0,04076680535485","1,3735000000","0,0216216326","1,3735000000","18,3465016295","1,3684000000","1,3669000000","1,3668923346","0,0292133017","40,38%","1,0000%"
